"Title","Player_Limit","Local_Limit","Genre","Subgenre","Release_Year","Online","Offline","Price"
"0 A.D.","8","1","Strategy","RTS","2009","Yes","Yes","Free"
"5089: The Action RPG","2","1","FPS","RPG","2016","Yes","Yes",""
"7 Days to Die","12","1","FPS","Survival","2013","Yes","Yes",""
"A.R.S.E.N.A.L Extended Power","8","1","Strategy","RTS","2002","Yes","Yes","Free"
"Act of Aggression Reboot Edition","8","1","Strategy","RTS","2016","Yes","Yes",""
"Adrenaline","16","1","Action","Shooter","2008","Yes","Yes","Free"
"Age of Empires II HD","8","1","Strategy","RTS","2013","Yes","No",""
"Age of Empires III: Complete Collection","8","1","Strategy","RTS","2005","Yes","Yes",""
"Age of Mythology","12","1","Strategy","RTS","2002","Yes","Yes",""
"Age of Wonders","12","12","Strategy","Turn-based","1999","Yes","Yes",""
"Age of Wonders II: The Wizard's Throne","8","8","Strategy","Turn-based","2002","Yes","Yes",""
"Age of Wonders III","8","8","Strategy","Turn-based","2014","Yes","No",""
"Age of Wonders: Shadow Magic","8","8","Strategy","Turn-based","2003","Yes","Yes",""
"AI War: Fleet Command","8","1","Strategy","RTS","2009","Yes","Yes",""
"Alexander","8","1","Strategy","RTS","2004","Yes","Yes",""
"Alien Swarm","4","1","Action","Shooter","2010","Yes","No","Free"
"Alien Swarm: Reactive Drop","8","1","Action","Shooter","2017","Yes","Yes","Free"
"Aliens versus Predator 2","32","1","FPS","Action","2001","Yes","Yes",""
"Altitude","64","1","Action","Shooter","2009","Yes","Yes","Free"
"Anno 1404","4","4","Strategy","Strategy","2009","Yes","Yes",""
"Anno 1404: Venice","8","8","Strategy","RTS","2010","Yes","Yes",""
"Anno 1602: Creation of a New World","4","1","Strategy","RTS","1998","No","Yes",""
"Anno 1701","4","1","Strategy","Business","2006","No","Yes",""
"Applied Science","16","1","FPS","Action","2012","No","Yes","Free"
"Applied Science","16","1","FPS","Alternative","2012","Yes","Yes","Free"
"Argo","10","1","FPS","Tactical","2017","Yes","Yes","Free"
"ARK: Survival Evolved","70","1","FPS","Survival","2015","Yes","No",""
"ARMA 2","64","1","FPS","Action","2009","Yes","Yes",""
"ARMA 3","64","1","FPS","Action","2013","Yes","Yes",""
"ARMA: Armed Assault","64","1","FPS","Action","2006","Yes","Yes",""
"Armagetron Advanced","32","4","Racing","Arcade","2001","Yes","Yes","Free"
"Army Men","4","1","Strategy","RTT","1998","Yes","Yes",""
"Artemis: Spaceship Bridge Simulator","6","1","Simulator","Spaceship","2013","Yes","Yes",""
"Assassin's Creed Revelations","8","1","Action","Stealth","2011","Yes","No",""
"Assault Cube","999","1","FPS","Shooter","2008","Yes","Yes","Free"
"At A Distance","2","1","Other","Puzzle","2011","No","No","Free"
"Atari Deer hunter 2005","8","1","Simulator","Simulation","2004","Yes","Yes","Free"
"Atomic Bomberman","10","10","Action","Bomberman","1997","No","Yes",""
"Awesomenauts","6","3","Platformer","MOBA","2012","Yes","No",""
"Badlands RoadTrip","4","4","Action","RPG","2018","Yes","Yes",""
"Baldur's Gate","6","1","RPG","RPG","1998","Yes","Yes",""
"Baldur's Gate II: Enhanced Edition","6","1","RPG","RPG","2013","Yes","Yes",""
"Baldur's Gate II: Shadows of Amn","6","1","RPG","RPG","2000","No","Yes",""
"Baldur's Gate: Enhanced Edition","6","1","RPG","RPG","2012","Yes","Yes",""
"BallisticNG","8","2","Racing","Spaceship","2016","Yes","Yes",""
"Battleblock Theater","4","4","Platformer","Action","2014","Yes","Yes",""
"Battlefield 1","64","1","FPS","Combat","2016","Yes","No",""
"Battlefield 1942","64","1","FPS","Action","2002","No","Yes",""
"Battlefield 2","64","1","FPS","Action","2005","Yes","Yes",""
"Battlefield 2142","64","1","FPS","Action","2006","Yes","No",""
"Battlefield 3","64","1","FPS","Action","2011","Yes","No",""
"Battlefield 4","64","1","FPS","Action","2013","Yes","No",""
"Battlefield Bad Company 2","32","1","FPS","Action","2010","Yes","Yes",""
"Battlefield Hardline","64","1","FPS","Action","2015","Yes","No",""
"Battlefield Vietnam","64","1","FPS","Action","2004","Yes","Yes",""
"Battlefield: Bad Company 2","32","1","FPS","Action","2010","Yes","No",""
"Battlefleet Gothic: Armada","4","1","Strategy","RTS","2016","Yes","No",""
"Battlerite","6","1","Action","MOBA","2017","Yes","No","Free"
"Battleships Crossfire","10","1","Strategy","MOBA","2006","Yes","Yes","Free"
"Battlestations: Midway","8","1","Action","Strategy","2007","Yes","Yes",""
"Battlestations: Pacific","8","1","Action","Strategy","2009","Yes","Yes",""
"Battlezone II: Combat Commander","8","1","FPS","RTS","1999","Yes","Yes",""
"Bionic Commando","16","1","Action","Shooter","2009","Yes","Yes",""
"Bitfighter","64","1","Action","Shooter","2008","Yes","Yes","Free"
"BlazeRush","8","4","Racing","Sports","2014","Yes","No",""
"Block N Load","10","1","Action","Shooter","2015","Yes","No","Free"
"Blockland","99","1","Open world","Sandbox","2007","Yes","Yes",""
"Bloody Good Time","8","1","FPS","Action","2010","Yes","Yes",""
"Blur","20","4","Racing","Arcade","2010","Yes","Yes",""
"Boid","8","8","Strategy","RTS","2016","Yes","Yes","Free"
"Bombsquad","8","8","Action","Bomberman","2011","Yes","Yes","Free"
"Bontãgo","8","1","Strategy","Puzzle","2004","Yes","Yes","Free"
"Borderlands","4","1","FPS","RPG","2009","Yes","Yes",""
"Borderlands 2","4","1","FPS","RPG","2012","Yes","Yes",""
"Borderlands: The Pre-Sequel","4","1","FPS","RPG","2014","Yes","Yes",""
"Brawlhalla","8","4","Platformer","Combat","2014","Yes","No","Free"
"Broforce","4","4","Action","Shooter","2015","Yes","No",""
"Build And Shoot","32","1","Action","Shooter","2011","Yes","Yes","Free"
"Burnout Paradise: The Ultimate Box","8","8","Racing","Arcade","2009","Yes","No",""
"Call of Duty","8","1","FPS","Action","2003","Yes","Yes",""
"Call of Duty 2","64","1","FPS","Action","2005","Yes","Yes",""
"Call of Duty 4: Modern Warfare","64","1","FPS","Action","2007","Yes","Yes",""
"Call of Duty: Modern Warfare 2","18","1","FPS","Action","2009","Yes","No",""
"Call of Duty: Modern Warfare 3","18","1","FPS","Action","2011","Yes","No",""
"Call of Duty: WWII","48","12","FPS","Action","2017","Yes","Yes",""
"Call to Arms","16","1","FPS","Strategy","2018","Yes","Yes",""
"Can't Drive This","2","2","Racing","Arcade","2016","Yes","Yes",""
"Carmageddon","6","1","Racing","Combat","1997","No","Yes",""
"Carmageddon II: Carpocalypse Now","6","1","Racing","Combat","1998","No","Yes",""
"Carmageddon: Max Damage","6","1","Racing","Action","2016","Yes","No",""
"Carmageddon: Reincarnation","8","1","Racing","Arcade","2015","Yes","Yes",""
"Castle Crashers","4","4","Beat-em-up","RPG","2012","Yes","No",""
"Castle Story","2","1","Strategy","RTS","2017","Yes","Yes",""
"Casus Belli","16","1","FPS","Action","2010","No","Yes","Free"
"Chivalry Medieval Warfare","32","1","FPS","Medieval","2012","Yes","No",""
"Chrome Trip","99","1","Platformer","Runner","2017","Yes","Yes","Free"
"Clonk Rage","8","4","Strategy","Sandbox","2008","Yes","Yes","Free"
"Code of War","10","1","Action","Horror","2018","Yes","Yes","Free"
"Codename Eagle","16","1","FPS","Action","1999","No","Yes",""
"Colin McRae Rally 2005","8","4","Racing","Rally","2004","No","Yes",""
"Command & Conquer 3: Tiberium Wars","8","1","Strategy","RTS","2007","Yes","Yes",""
"Command & Conquer: Generals","8","1","Strategy","RTS","2003","Yes","Yes",""
"Command & Conquer: Generals – Zero Hour","8","1","Strategy","RTS","2003","Yes","Yes",""
"Command & Conquer: Red Alert","8","1","Strategy","RTS","1996","Yes","Yes",""
"Command & Conquer: Red Alert 2","8","1","Strategy","RTS","2000","Yes","Yes","Free"
"Command & Conquer: Red Alert 3","6","1","Strategy","RTS","2008","No","Yes",""
"Command & Conquer: Tiberian Sun","8","1","Strategy","RTS","1999","Yes","Yes",""
"Command & Conquer: Tiberian Sun - Firestorm","8","1","Strategy","RTS","2000","Yes","Yes",""
"Command & Conquer: Yuri's Revenge","8","1","Strategy","RTS","2001","Yes","Yes","Free"
"Company of Heroes","8","1","Strategy","RTS","2006","Yes","Yes",""
"Company of Heroes 2","8","1","Strategy","RTS","2013","Yes","No",""
"Cortex Command","4","4","Action","Strategy","2012","Yes","Yes",""
"Counter-Strike","32","1","FPS","Tactical","1999","Yes","Yes",""
"Counter-Strike 2D","32","1","Action","Shooter","2004","Yes","Yes","Free"
"Counter-Strike: Global Offensive","32","1","FPS","Tactical","2012","Yes","Yes",""
"Counter-Strike: Source","32","1","FPS","Tactical","2004","Yes","Yes",""
"Crawl","4","4","Beat-em-up","RPG","2014","No","No",""
"Crusader Kings 2","32","1","Strategy","Turn-based","2012","Yes","Yes",""
"Cry of Fear","4","1","Action","Horror","2013","Yes","Yes","Free"
"Crysis Wars","32","1","FPS","Action","2007","Yes","Yes","Free"
"Cube 2: Sauerbraten","999","1","FPS","Action","2004","Yes","Yes","Free"
"Daikatana","16","1","FPS","Action","2000","No","Yes",""
"Day of Defeat","32","1","FPS","Action","2000","Yes","Yes","Free"
"Day of Defeat","32","1","FPS","Action","2003","Yes","Yes",""
"Dead Frontier","999","1","Action","Survival","2008","Yes","No","Free"
"Dead Island","4","1","FPS","RPG","2011","Yes","Yes",""
"DEFCON","6","1","Strategy","RTS","2006","Yes","Yes",""
"Defense of the Ancients","10","1","Strategy","MOBA","2005","Yes","Yes","Free"
"Demigod","10","1","Strategy","MOBA","2009","Yes","Yes",""
"Descent","8","1","FPS","Action","1994","No","Yes",""
"Descent 3","32","1","FPS","Action","1999","Yes","Yes",""
"Descent II","8","1","FPS","Action","1996","No","Yes",""
"Desolate","4","1","Action","Horror","2018","Yes","Yes",""
"Deus Ex","16","1","Action","RPG","2000","No","Yes",""
"Diablo","4","1","RPG","Action","1996","No","Yes",""
"Diablo II","8","1","RPG","Action","2000","Yes","Yes",""
"Diablo III","4","1","RPG","Action","2012","Yes","No",""
"Digital Paintball 2","999","1","FPS","Action","1998","Yes","Yes","Free"
"Din's Curse","999","1","RPG","Action","2010","Yes","Yes",""
"DiRT 3","8","2","Racing","Rally","2011","Yes","Yes",""
"DiRT 3 Complete Edition","8","2","Racing","Rally","2015","Yes","No",""
"DiRT Rally","6","1","Racing","Rally","2015","Yes","No",""
"Dirty Bomb","16","1","FPS","Action","2015","Yes","No","Free"
"Divinity: Original Sin - Enhanced Edition","2","1","RPG","Turn-based","2015","Yes","Yes",""
"Don't Starve Together","6","1","Other","Survival","2016","Yes","Yes",""
"Doom","4","1","FPS","Action","1993","No","Yes","Free"
"Doom","12","1","FPS","Action","2016","Yes","No",""
"Doom 3","4","1","FPS","Action","2004","Yes","Yes",""
"Doom II: Hell on Earth","4","1","FPS","Action","1994","No","Yes","Free"
"DotA 2","10","1","Strategy","MOBA","2013","Yes","No","Free"
"Duck Game","4","4","Action","Shooter","2015","Yes","No",""
"Duke Nukem 3D: Atomic Edition","8","1","FPS","Action","1996","No","Yes",""
"Dungeon Defenders","4","4","Action","Tower Defense","2011","Yes","Yes",""
"Dungeon Defenders II","4","1","Action","Tower Defense","2014","Yes","No","Free"
"Dungeon Keeper","4","1","Strategy","RTS","1997","No","Yes",""
"Dungeon Keeper 2","4","1","Strategy","RTS","1999","No","Yes",""
"Dungeon Keeper Gold","4","1","Strategy","RTS","1997","No","Yes",""
"Dungeon of the Endless","4","1","Strategy","Tower Defense","2014","Yes","Yes",""
"Dungeon Siege","8","1","Action","RPG","2002","Yes","Yes",""
"Dungeon Siege II","8","1","RPG","Action","2005","Yes","Yes",""
